downhill|About a month before he died, my uncle had his back covered in lard, After that, he went down hill fast.
invisible|"Doctor, there's a patient on line 1 that says he's invisible" "Well, tell him I can't see him right now."
powers|Atheists don't solve exponential equations because they don't believe in higher powers.
tense|The future, the present and the past walked into a bar. Things got a little tense.
prophet|Atheism is a non-prophet organization.
colorblind|I just found out I'm colorblind. The diagnosis came completely out of the purple.
burial|I saw an ad for burial plots, and thought to myself this is the last thing I need.
brownies|Just burned 2,000 calories. That's the last time I leave brownies in the oven while I nap.
HD|What do you call a dictionary on drugs? HIGH-Definition.
earth|What did E.T.'s mother say to him when he got home? "Where on Earth have you been?!"
nap|Did you hear about the kidnapping at school? It's okay. He woke up.
addict|Heard about the drug addict fisherman who accidentally caught a duck? Now he's hooked on the quack.
flu|Doctors are saying not to worry about the bird flu because it's tweetable.
box|Claustrophobic people are more productive thinking out of the box.
alcoholics|alcohol *enthusiasts*
bartender|A termite walks into a bar and says, "Where is the bar tender?"
transformer|My girlfriend told me she was leaving me because I keep pretending to be a Transformer. I said, "No, wait! I can change."
matches|eBay is so useless. I tried to look up lighters and all they had was 13,749 matches.
armies|Where does the king keep his armies? Up his sleevies!
fast food|Why do the French eat snails? They don't like fast food.
Guardians of the Galaxy|What do you call the security outside of a Samsung Store? Guardians of the Galaxy.
soap|I used to be addicted to soap, but I'm clean now.
paradox|My doctors office has two doctors on call at all times. Is that considered a pair a docs?
calendar|I can't believe I got fired from the calendar factory. All I did was take a day off.
Jesus|How did Jesus' crucifixion save us? It's 'cause he nailed it!
